"month","year","model","scenario","Daily_precip","Monthly_Precip","Mangement","Date","diff"
1,2007,"ACCESS1-0","rcp45",81.0266753906035,38.4866638574749,"None",2007-01-15,42.5400115331286
1,2007,"bcc-csm1-1-m","rcp45",118.627622523271,46.4273014222272,"None",2007-01-15,72.2003211010437
1,2007,"bcc-csm1-1","rcp45",189.014054186123,111.095514893532,"None",2007-01-15,77.918539292591
1,2007,"BNU-ESM","rcp45",318.490927460017,130.886993429158,"None",2007-01-15,187.603934030859
1,2007,"CNRM-CM5","rcp45",2.41253744795012,62.4758803867735,"None",2007-01-15,-60.0633429388234
1,2007,"CSIRO-Mk3-6-0","rcp45",5.48034674593509,5.55131566361524,"None",2007-01-15,-0.0709689176801458
1,2007,"GFDL-ESM2G","rcp45",17.5143692554262,64.1098015999887,"None",2007-01-15,-46.5954323445625
1,2007,"GFDL-ESM2M","rcp45",48.869510380521,85.6626523775049,"None",2007-01-15,-36.7931419969838
1,2007,"inmcm4","rcp45",18.6000000496279,126.572123263031,"None",2007-01-15,-107.972123213403
1,2007,"IPSL-CM5A-LR","rcp45",5.06506745532534,126.752474263776,"None",2007-01-15,-121.687406808451
1,2007,"IPSL-CM5B-LR","rcp45",6.74443765992692,148.754633765202,"None",2007-01-15,-142.010196105275
1,2007,"MIROC-ESM-CHEM","rcp45",485.860603216111,122.674723423552,"None",2007-01-15,363.185879792559
1,2007,"MIROC5","rcp45",13.7050806011702,62.3538080253638,"None",2007-01-15,-48.6487274241936
1,2007,"MRI-CGCM3","rcp45",33.5038395103937,89.7838612901978,"None",2007-01-15,-56.2800217798041
1,2008,"ACCESS1-0","rcp45",139.5204278233,114.620685623959,"None",2008-01-15,24.8997421993406
1,2008,"bcc-csm1-1-m","rcp45",72.992053343744,98.8469253759831,"None",2008-01-15,-25.8548720322391
1,2008,"bcc-csm1-1","rcp45",213.579884122555,90.2756877942011,"None",2008-01-15,123.304196328354
1,2008,"BNU-ESM","rcp45",183.044687358901,66.7379723803606,"None",2008-01-15,116.306714978541
1,2008,"CNRM-CM5","rcp45",3.86809251514937,105.319917574525,"None",2008-01-15,-101.451825059376
1,2008,"CSIRO-Mk3-6-0","rcp45",24.1226197045762,84.5166454673745,"None",2008-01-15,-60.3940257627983
1,2008,"GFDL-ESM2G","rcp45",43.6169473745911,59.5829417870846,"None",2008-01-15,-15.9659944124935
1,2008,"GFDL-ESM2M","rcp45",35.6350875711315,72.9439069284126,"None",2008-01-15,-37.3088193572811
1,2008,"inmcm4","rcp45",11.2000001408887,78.1777009600773,"None",2008-01-15,-66.9777008191886
1,2008,"IPSL-CM5A-LR","rcp45",4.20904898564914,93.0800586473197,"None",2008-01-15,-88.8710096616706
1,2008,"IPSL-CM5B-LR","rcp45",2.39152855708937,69.3047903012484,"None",2008-01-15,-66.913261744159
1,2008,"MIROC-ESM-CHEM","rcp45",184.045783266538,54.9295030301437,"None",2008-01-15,129.116280236394
1,2008,"MIROC5","rcp45",54.755857059991,53.406053991057,"None",2008-01-15,1.34980306893402
1,2008,"MRI-CGCM3","rcp45",7.41830082018943,57.0749822712969,"None",2008-01-15,-49.6566814511075
1,2009,"ACCESS1-0","rcp45",61.3418214359626,11.7178772954503,"None",2009-01-15,49.6239441405123
1,2009,"bcc-csm1-1-m","rcp45",163.258222126251,155.041584488936,"None",2009-01-15,8.21663763731505
1,2009,"bcc-csm1-1","rcp45",181.584603252357,91.6098993388005,"None",2009-01-15,89.9747039135563
1,2009,"BNU-ESM","rcp45",240.766537476066,107.175489573274,"None",2009-01-15,133.591047902792
1,2009,"CNRM-CM5","rcp45",3.57423314162304,34.9739264231175,"None",2009-01-15,-31.3996932814945
1,2009,"CSIRO-Mk3-6-0","rcp45",28.2676694486327,58.0415833450388,"None",2009-01-15,-29.7739138964061
1,2009,"GFDL-ESM2G","rcp45",13.3108287648246,148.544154432602,"None",2009-01-15,-135.233325667777
1,2009,"GFDL-ESM2M","rcp45",18.1458177612908,78.4090664761607,"None",2009-01-15,-60.2632487148699
1,2009,"inmcm4","rcp45",163.999997897554,31.4869471534621,"None",2009-01-15,132.513050744092
1,2009,"IPSL-CM5A-LR","rcp45",4.90242456417036,57.551929744659,"None",2009-01-15,-52.6495051804886
1,2009,"IPSL-CM5B-LR","rcp45",48.6479812878088,104.217105649877,"None",2009-01-15,-55.5691243620682
1,2009,"MIROC-ESM-CHEM","rcp45",539.076185936847,82.6936377910897,"None",2009-01-15,456.382548145757
1,2009,"MIROC5","rcp45",65.760874231126,51.661543676164,"None",2009-01-15,14.099330554962
1,2009,"MRI-CGCM3","rcp45",5.80180214818845,98.4901112155057,"None",2009-01-15,-92.6883090673173
1,2010,"ACCESS1-0","rcp45",91.5133759219316,70.9285485616419,"None",2010-01-15,20.5848273602897
1,2010,"bcc-csm1-1-m","rcp45",84.5469105453704,117.186982242856,"None",2010-01-15,-32.6400716974856
1,2010,"bcc-csm1-1","rcp45",113.871727349999,101.296976523008,"None",2010-01-15,12.5747508269913
1,2010,"BNU-ESM","rcp45",291.472191165888,112.038145819679,"None",2010-01-15,179.434045346209
1,2010,"CNRM-CM5","rcp45",3.90866767120315,51.5429011895321,"None",2010-01-15,-47.634233518329
1,2010,"CSIRO-Mk3-6-0","rcp45",34.3591308381293,27.3102902225219,"None",2010-01-15,7.04884061560735
1,2010,"GFDL-ESM2G","rcp45",2.39465827407472,77.3811125429347,"None",2010-01-15,-74.98645426886
1,2010,"GFDL-ESM2M","rcp45",27.1956233628953,88.4260108927265,"None",2010-01-15,-61.2303875298312
