"month","year","MON.x","new.mean","MON.y","old.mean","diff","Date","pcent.diff"
1,"2033","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2033-01-00-000000-g01.h5",1.62229498528177e-05,"2033JAN.h5",1.62229468431726e-05,-3.009645101361e-12,2033-01-15,-1.85517746720265e-05
1,"2034","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2034-01-00-000000-g01.h5",2.60126871580724e-05,"2034JAN.h5",2.60126881213544e-05,9.63282022371911e-13,2034-01-15,3.70312385200577e-06
1,"2035","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2035-01-00-000000-g01.h5",1.32590794237331e-05,"2035JAN.h5",1.3259079846697e-05,4.22963933706865e-13,2035-01-15,3.18999471282666e-06
1,"2036","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2036-01-00-000000-g01.h5",1.82722742465558e-05,"2036JAN.h5",1.82722754763295e-05,1.22977374946787e-12,2036-01-15,6.7302719619633e-06
1,"2037","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2037-01-00-000000-g01.h5",2.64976079051849e-05,"2037JAN.h5",2.64976068832257e-05,-1.02195910154507e-12,2037-01-15,-3.85679758130308e-06
1,"2038","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2038-01-00-000000-g01.h5",2.13017410715111e-05,"2038JAN.h5",2.13017431643268e-05,2.09281576511494e-12,2038-01-15,9.82462304843779e-06
1,"2039","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2039-01-00-000000-g01.h5",2.22808193939272e-05,"2039JAN.h5",2.22808207092717e-05,1.31534448724645e-12,2039-01-15,5.90348345763658e-06
1,"2040","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2040-01-00-000000-g01.h5",2.27113141590962e-05,"2040JAN.h5",2.27113146578514e-05,4.98755157725232e-13,2040-01-15,2.19606473006451e-06
1,"2041","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2041-01-00-000000-g01.h5",1.92748248082353e-05,"2041JAN.h5",1.92748230210293e-05,-1.78720598636626e-12,2041-01-15,-9.27222947311179e-06
1,"2042","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2042-01-00-000000-g01.h5",1.6930631318246e-05,"2042JAN.h5",1.69306320761583e-05,7.57912250348063e-13,2042-01-15,4.47657406699165e-06
1,"2043","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2043-01-00-000000-g01.h5",2.17409433389548e-06,"2043JAN.h5",2.17409462728087e-06,2.93385387818967e-13,2043-01-15,1.34946024799021e-05
1,"2044","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2044-01-00-000000-g01.h5",1.7620808648644e-05,"2044JAN.h5",1.76208091418218e-05,4.9317778119261e-13,2044-01-15,2.79883738407705e-06
1,"2045","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2045-01-00-000000-g01.h5",4.61707022623159e-05,"2045JAN.h5",4.6170705995645e-05,3.73332905524238e-12,2045-01-15,8.08592650614059e-06
1,"2046","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2046-01-00-000000-g01.h5",1.88219528354239e-05,"2046JAN.h5",1.88219564293949e-05,3.59397100025294e-12,2046-01-15,1.90945702138734e-05
1,"2047","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2047-01-00-000000-g01.h5",1.89418642548844e-05,"2047JAN.h5",1.8941863198697e-05,-1.05618739462362e-12,2047-01-15,-5.57594216354929e-06
1,"2048","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2048-01-00-000000-g01.h5",1.40322799779824e-05,"2048JAN.h5",1.40322796992663e-05,-2.78716118449194e-13,2048-01-15,-1.98624969804939e-06
1,"2049","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2049-01-00-000000-g01.h5",1.77666479430627e-05,"2049JAN.h5",1.76289988880315e-05,-1.37649055031162e-07,2049-01-15,-0.774760976140743
1,"2050","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2050-01-00-000000-g01.h5",2.50528592005139e-05,"2050JAN.h5",2.50528596161432e-05,4.15629299233737e-13,2050-01-15,1.65900944093522e-06
1,"2051","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2051-01-00-000000-g01.h5",1.14496469905134e-05,"2051JAN.h5",1.14496462277114e-05,-7.6280200722817e-13,2051-01-15,-6.66223166634339e-06
1,"2052","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2052-01-00-000000-g01.h5",2.09220779652242e-05,"2052JAN.h5",2.09220773527822e-05,-6.12441995446848e-13,2052-01-15,-2.9272522406032e-06
1,"2053","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2053-01-00-000000-g01.h5",4.00552526116371e-05,"2053JAN.h5",4.00552489223159e-05,-3.68932124840361e-12,2053-01-15,-9.21058040947997e-06
1,"2054","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2054-01-00-000000-g01.h5",6.39452423456532e-07,"2054JAN.h5",6.3945238556092e-07,-3.7895612538579e-14,2054-01-15,-5.92625989392914e-06
1,"2055","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2055-01-00-000000-g01.h5",1.44758432725212e-05,"2055JAN.h5",1.44758422507149e-05,-1.02180629510732e-12,2055-01-15,-7.05869962480676e-06
1,"2056","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2056-01-00-000000-g01.h5",1.46859010783373e-05,"2056JAN.h5",1.46859031907121e-05,2.11237479094131e-12,2056-01-15,1.4383692081843e-05
1,"2057","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2057-01-00-000000-g01.h5",2.68026124103926e-05,"2057JAN.h5",2.68026130069429e-05,5.96550288551115e-13,2057-01-15,2.22571694408202e-06
1,"2058","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2058-01-00-000000-g01.h5",2.81732827716041e-05,"2058JAN.h5",2.8173287854506e-05,5.08290184234365e-12,2058-01-15,1.80415675510304e-05
1,"2059","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2059-01-00-000000-g01.h5",1.36549497256055e-05,"2059JAN.h5",1.3654950520191e-05,7.94585424407769e-13,2059-01-15,5.81902857010874e-06
1,"2060","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2060-01-00-000000-g01.h5",2.24237137445016e-05,"2060JAN.h5",2.24237150305075e-05,1.28600594935394e-12,2060-01-15,5.73502660916603e-06
1,"2061","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2061-01-00-000000-g01.h5",1.15717584776576e-05,"2061JAN.h5",1.15717580913668e-05,-3.86290759647159e-13,2061-01-15,-3.33822003373285e-06
1,"2062","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2062-01-00-000000-g01.h5",2.62536086665932e-05,"2062JAN.h5",2.62536128228862e-05,4.15629299233737e-12,2062-01-15,1.58313207432315e-05
1,"2063","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2063-01-00-000000-g01.h5",1.38636050905916e-05,"2063JAN.h5",1.38636068924668e-05,1.80187525531251e-12,2063-01-15,1.29971623019642e-05
1,"2064","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2064-01-00-000000-g01.h5",2.83298268186627e-05,"2064JAN.h5",2.8329828640097e-05,1.82143428283294e-12,2064-01-15,6.4293872892307e-06
1,"2065","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2065-01-00-000000-g01.h5",0,"2065JAN.h5",0,0,2065-01-15,NA
1,"2066","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2066-01-00-000000-g01.h5",2.82958990283078e-05,"2066JAN.h5",2.82959011260133e-05,2.09770552030098e-12,2066-01-15,7.41346128929621e-06
1,"2067","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2067-01-00-000000-g01.h5",2.06853565032361e-05,"2067JAN.h5",2.06853577183406e-05,1.21510448052161e-12,2067-01-15,5.87422546161065e-06
1,"2068","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2068-01-00-000000-g01.h5",1.40677620947827e-05,"2068JAN.h5",1.40677640482404e-05,1.95345770673738e-12,2068-01-15,1.38860587250988e-05
1,"2069","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2069-01-00-000000-g01.h5",1.48315234582697e-06,"2069JAN.h5",1.48315278590505e-06,4.40078081516692e-13,2069-01-15,2.96718056569389e-05
1,"2070","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2070-01-00-000000-g01.h5",2.33563587244134e-05,"2070JAN.h5",2.33563602206789e-05,1.49626547656383e-12,2070-01-15,6.40624462366901e-06
1,"2071","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2071-01-00-000000-g01.h5",3.63409344572574e-05,"2071JAN.h5",3.63409337335734e-05,-7.23683957269509e-13,2071-01-15,-1.991374098953e-06
1,"2072","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2072-01-00-000000-g01.h5",1.75601344380993e-05,"2072JAN.h5",1.74371408486691e-05,-1.22993589430217e-07,2072-01-15,-0.700413711886871
1,"2073","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2073-01-00-000000-g01.h5",3.03756387438625e-05,"2073JAN.h5",3.03756383942449e-05,-3.49617585587454e-13,2073-01-15,-1.15098018893534e-06
1,"2074","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2074-01-00-000000-g01.h5",2.39994096773444e-05,"2074JAN.h5",2.39994101932137e-05,5.15869305958575e-13,2074-01-15,2.14950830468297e-06
1,"2075","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2075-01-00-000000-g01.h5",2.32343154493719e-05,"2075JAN.h5",2.31143281775643e-05,-1.19987271807655e-07,2075-01-15,-0.516422668311922
1,"2076","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2076-01-00-000000-g01.h5",1.92463830899214e-05,"2076JAN.h5",1.9246381371172e-05,-1.71874939682102e-12,2076-01-15,-8.93024620918226e-06
1,"2077","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2077-01-00-000000-g01.h5",1.70064049598295e-05,"2077JAN.h5",1.70064079181322e-05,2.9583026600491e-12,2077-01-15,1.73952264814758e-05
1,"2078","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2078-01-00-000000-g01.h5",2.15433738048887e-05,"2078JAN.h5",2.15433720274622e-05,-1.77742647260604e-12,2078-01-15,-8.25045551877679e-06
1,"2079","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2079-01-00-000000-g01.h5",1.94976582861273e-05,"2079JAN.h5",1.94976587310951e-05,4.4496783712625e-13,2079-01-15,2.28216039399598e-06
